pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y
778.810000,361.990000,880.520000,375.990000,861.382459,339.487980,865.370000,363.840000,808.083675,340.512956,801.933816,363.062442,557.870000,476.760000
780.410000,363.270000,882.500000,376.780000,864.457389,342.562909,867.340000,364.750000,809.108652,342.562909,802.958792,367.162348,556.270000,477.950000
785.534190,358.962535,885.000000,377.890000,866.507342,343.587886,868.590000,365.860000,813.208558,344.612863,807.058699,371.262254,554.690000,478.730000
788.609120,361.012488,886.960000,378.450000,869.582272,343.587886,870.430000,366.770000,816.283488,344.612863,810.133628,373.312208,552.730000,479.300000
789.634096,362.037465,889.050000,378.650000,867.532318,342.562909,871.920000,367.790000,820.383395,345.637839,814.233535,372.287231,551.040000,479.610000
793.734003,364.087418,890.870000,379.520000,867.532318,342.562909,873.340000,368.850000,820.383395,345.637839,819.358418,371.262254,549.190000,480.540000
793.734003,364.087418,892.480000,380.190000,872.657201,344.612863,874.910000,369.640000,823.458324,347.687792,819.358418,374.337184,547.240000,481.160000
794.758979,365.112395,893.860000,380.460000,876.757108,344.612863,876.420000,370.340000,824.483301,349.737746,820.383395,372.287231,546.580000,481.030000
797.833909,365.112395,895.080000,380.680000,876.757108,344.612863,877.850000,370.590000,825.508278,348.712769,822.433348,375.362161,545.570000,481.170000
799.940000,365.170000,897.180000,381.230000,877.782085,344.612863,879.400000,371.490000,827.558231,349.737746,819.358418,372.287231,543.970000,481.160000
797.920000,367.390000,898.880000,381.380000,881.881991,346.662816,882.230000,371.630000,829.608184,349.737746,822.433348,372.287231,542.280000,481.690000
800.710000,367.600000,900.850000,381.390000,881.881991,346.662816,884.060000,372.200000,828.583207,350.762722,819.358418,372.287231,540.750000,482.160000
802.820000,367.950000,902.420000,382.430000,883.931944,346.662816,885.820000,372.700000,829.608184,350.762722,820.383395,373.312208,538.640000,482.620000
802.970000,367.870000,903.320000,382.830000,885.981897,348.712769,887.660000,373.110000,832.683114,350.762722,821.408371,373.312208,537.190000,483.120000
803.920000,368.380000,905.070000,383.100000,889.056827,348.712769,889.320000,373.780000,835.758044,351.787699,823.458324,372.287231,535.770000,483.090000
805.620000,368.340000,906.810000,383.200000,895.206687,350.762722,890.850000,373.600000,834.733067,351.787699,825.508278,373.312208,533.600000,483.540000
807.700000,368.360000,908.300000,383.160000,895.206687,350.762722,892.310000,374.130000,838.832973,352.812675,825.508278,372.287231,532.170000,484.090000
